model,event,aoi,region,aoi_name,threshold,tp,fp,fn,tn,precision,recall,f1,iou
r19,1111009,01,Pakistan,Larkana,0.25,109968599,225360221,8612365,587123912,0.3279425818514496,0.9273714371220663,0.4845394520070534,0.319730825489829
r19,1111009,01,Pakistan,Larkana,0.3,107817064,192801268,10763900,619682865,0.35865099537575773,0.9092274203471646,0.5143952531828679,0.3462531028424255
r19,1111009,01,Pakistan,Larkana,0.35,105728848,167357061,12852116,645127072,0.387163323025942,0.8916173762932135,0.5398917053676888,0.3697614124599203
r19,1111009,01,Pakistan,Larkana,0.4,103710986,146422003,14869978,666062130,0.4146233826038836,0.8746006315145153,0.5625552554014684,0.3913578295898853
r19,1111009,01,Pakistan,Larkana,0.45,101745923,128142875,16835041,684341258,0.4425875635749768,0.8580291436996582,0.5839584038284503,0.4123878884682886
r19,1111009,01,Pakistan,Larkana,0.5,99807519,109447480,18773445,703036653,0.47696599592347133,0.8416824727449509,0.6088869450847892,0.4376976716115293
r19,1111009,01,Pakistan,Larkana,0.55,97891155,98993885,20689809,713490248,0.49719955868663257,0.8255216663612214,0.620613021744175,0.44991944358421687
r19,1111009,01,Pakistan,Larkana,0.6,95963171,90276993,22617793,722207140,0.5152657135761542,0.8092628678579472,0.6296359548935203,0.4594661959659023
r19,1111009,01,Pakistan,Larkana,0.65,93977651,82429808,24603313,730054325,0.532730597292941,0.7925188650009626,0.6371616217630345,0.46752544684520686
r19,1111009,01,Pakistan,Larkana,0.7,91868467,75070605,26712497,737413528,0.5503113555105901,0.7747319966128796,0.643516779326828,0.4744008399952597
r19,1111009,01,Pakistan,Larkana,0.75,89545778,67906762,29035186,744577371,0.5687159953088086,0.7551446284413744,0.6488036901491494,0.48016982093502497
r19,1111009,01,Pakistan,Larkana,0.8,86856989,60691311,31723975,751792822,0.5886681784879935,0.7324699181902418,0.6527428640842746,0.4844976112452414
r19,1111009,01,Pakistan,Larkana,0.85,83520527,53143807,35060437,759340326,0.6111362383692588,0.7043333447685582,0.654433422706968,0.4863627216599986
r19,1111009,01,Pakistan,Larkana,0.9,78846343,44647311,39734621,767836822,0.6384647343903194,0.6649156857925358,0.6514218107740647,0.48304341266854656
r19,1111009,01,Pakistan,Larkana,0.95,70191503,33647395,48389461,778836738,0.6759654074911311,0.5919289288287453,0.631162184607416,0.4610934747053274
r19,1111010,01,Peru,Sechura,0.05,4730423,15869590,910,4327162,0.2296320395525964,0.999807665197102,0.3734837461854574,0.22962189606747233
r19,1111010,01,Peru,Sechura,0.1,4723856,8303135,7477,11893617,0.3626206543015191,0.9984196842623422,0.5320159717775169,0.3624126431550563
r19,1111010,01,Peru,Sechura,0.15,4708538,5084787,22795,15111965,0.48079053845348746,0.9951821188658672,0.6483509628935842,0.47967404636455135
r19,1111010,01,Peru,Sechura,0.2,4684638,3830126,46695,16366626,0.5501782550872814,0.9901306883282154,0.7073235232989763,0.5471775313062879
r19,1111010,01,Peru,Sechura,0.25,4653739,3139786,77594,17056966,0.5971288986690875,0.9835999706636587,0.7431204409662768,0.5912423633793366
r19,1111010,01,Peru,Sechura,0.3,4614338,2664887,116995,17531865,0.6339051203939979,0.975272296412026,0.7683802867443794,0.6238778727512162
r19,1111010,01,Peru,Sechura,0.35,4564474,2294153,166859,17902599,0.665508417355252,0.9647331946409183,0.7876600091803595,0.6497022412399655
r19,1111010,01,Peru,Sechura,0.4,4502782,1988476,228551,18208276,0.6936686232468344,0.9516941631459886,0.8024496303928389,0.6700758905498654
r19,1111010,01,Peru,Sechura,0.45,4427457,1730783,303876,18465969,0.7189484333186105,0.9357737026753349,0.8131553000287522,0.6851404400663808
r19,1111010,01,Peru,Sechura,0.5,4338007,1517410,393326,18679342,0.7408536403128931,0.9168678256212361,0.8195162821451342,0.6942207416755658
r19,1111010,01,Peru,Sechura,0.55,4237948,1345861,493385,18850891,0.7589708029053286,0.8957196629364282,0.8216945535020266,0.6973527585263857
r19,1111010,01,Peru,Sechura,0.6,4131230,1207281,600103,18989471,0.7738543575165435,0.8731640744796445,0.8205151936812526,0.6956555856299129
r19,1111010,01,Peru,Sechura,0.65,4023538,1097000,707795,19099752,0.7857646989437438,0.850402624376682,0.8168068786121945,0.6903411318467905
r19,1111010,01,Peru,Sechura,0.7,3921250,1006965,810083,19189787,0.7956734842128438,0.8287833471032371,0.8118909911726718,0.6833472224691015
r19,1111010,01,Peru,Sechura,0.75,3826865,927639,904468,19269113,0.8048925818550158,0.8088344236180375,0.8068586883793175,0.6762473820333446
r19,1111010,01,Peru,Sechura,0.8,3736361,847935,994972,19348817,0.8150348494076298,0.789705776363659,0.8021704170485965,0.6696865968797341
r19,1111010,01,Peru,Sechura,0.85,3638459,756516,1092874,19440236,0.8278679628439297,0.7690135105687974,0.7973561707538251,0.6630027539023031
r19,1111010,01,Peru,Sechura,0.9,3508956,636400,1222377,19560352,0.8464788066453158,0.7416421545471434,0.7906001888767308,0.6537128430195764
r19,1111010,01,Peru,Sechura,0.95,3269460,432137,1461873,19764615,0.8832566051895979,0.6910230161351991,0.7754030924008619,0.6331904707493217
r19,1111011,01,Philippines,Tuguegarao,0.05,10507722,26493112,31636,126952245,0.2839860852866181,0.9969982991373858,0.44205635517837205,0.2837434824088158
r19,1111011,01,Philippines,Tuguegarao,0.1,10241432,16127470,297926,137317887,0.3883905367011489,0.9717320542674421,0.554966936940403,0.38405137648917226
r19,1111011,01,Philippines,Tuguegarao,0.15,9875558,11397514,663800,142047843,0.46422810960259997,0.9370170365215794,0.6208615940372993,0.4501807732661247
r19,1111011,01,Philippines,Tuguegarao,0.2,9578112,8994536,961246,144450821,0.5157106299543286,0.9087946343600816,0.6580180012328933,0.49033295665472537
r19,1111011,01,Philippines,Tuguegarao,0.25,9323365,7569148,1215993,145876209,0.5519229140152209,0.8846236174916916,0.6797469264856196,0.5148610824106639
r19,1111011,01,Philippines,Tuguegarao,0.3,9095198,6628044,1444160,146817313,0.57845563911056,0.8629745758707503,0.692635001865771,0.5297946654945227
r19,1111011,01,Philippines,Tuguegarao,0.35,8886056,5938409,1653302,147506948,0.5994183263949154,0.843130672665261,0.7006874318591484,0.539275497705484
r19,1111011,01,Philippines,Tuguegarao,0.4,8693891,5385236,1845467,148060121,0.6175021363185373,0.8248975886387008,0.7062896843570998,0.545941139849468
r19,1111011,01,Philippines,Tuguegarao,0.45,8512803,4924921,2026555,148520436,0.6335003606265466,0.8077155173967902,0.7100783156182223,0.5504817263061537
r19,1111011,01,Philippines,Tuguegarao,0.5,8334158,4518574,2205200,148926783,0.6484347452354877,0.7907652439550872,0.7125620669209122,0.5534729470155663
r19,1111011,01,Philippines,Tuguegarao,0.55,8160209,4260605,2379149,149184752,0.6569786005973521,0.7742605384502548,0.71081427438784,0.5513668513901014
r19,1111011,01,Philippines,Tuguegarao,0.6,7984490,4040424,2554868,149404933,0.6639956011327814,0.7575878910271384,0.7077108448258379,0.5476412473108309
r19,1111011,01,Philippines,Tuguegarao,0.65,7801349,3838519,2738009,149606838,0.6702265867619804,0.7402110261365066,0.703482529101782,0.5425939448501333
